City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Ihosy,MG,-22.4,46.1167,62.55,83,95,9.35,overcast clouds
319,Letnyaya Stavka,RU,45.4306,43.4472,29.59,89,91,9.13,overcast clouds
320,Novikovo,RU,51.1537,37.8879,28.47,82,10,11.03,clear sky
321,Khromtau,KZ,50.2503,58.4347,16.34,93,62,15.52,broken clouds
322,Salamanca,ES,40.8333,-6.0,37.18,81,88,9.35,overcast clouds
323,Port Hardy,CA,50.6996,-127.4199,46.58,93,90,2.3,overcast clouds
324,Ahipara,NZ,-35.1667,173.1667,66.9,65,60,2.26,broken clouds
325,Bratsk,RU,56.1325,101.6142,30.69,80,100,7.18,overcast clouds
326,Khatanga,RU,71.9667,102.5,-10.86,99,100,4.05,overcast clouds
327,Apollonia,GR,36.9716,24.7231,56.84,68,27,8.21,scattered clouds
328,Klaksvik,FO,62.2266,-6.589,36.52,69,91,34.81,overcast clouds
329,Hay River,CA,60.8156,-115.7999,13.98,85,90,2.3,light snow
330,Portel,BR,-1.9356,-50.8211,75.6,91,93,3.74,light rain
331,Road Town,VG,18.4167,-64.6167,79.0,77,93,18.52,overcast clouds
332,Jibuti,DJ,11.5,42.5,74.62,71,21,6.08,few clouds
333,Alugan,PH,12.2188,125.4808,83.35,81,100,8.95,overcast clouds
334,Katherine,AU,-14.4667,132.2667,93.52,43,40,8.05,scattered clouds
335,Kampong Chhnang,KH,12.1667,104.55,78.08,75,87,6.93,overcast clouds
336,Whitehorse,CA,60.7161,-135.0538,13.1,85,90,3.44,light snow
337,Punta Alta,AR,-38.8759,-62.0736,66.79,79,53,12.88,broken clouds
338,Wajid,SO,3.8093,43.2471,74.41,86,67,14.79,broken clouds
339,Xinyang,CN,32.1228,114.0656,56.32,41,0,6.24,clear sky
340,Jumla,NP,29.2747,82.1838,41.23,42,0,2.59,clear sky
341,Nhulunbuy,AU,-12.2333,136.7667,90.21,55,75,8.05,broken clouds
342,Kruisfontein,ZA,-34.0033,24.7314,61.88,81,95,19.95,overcast clouds
343,At-Bashi,KG,41.1702,75.8106,20.39,65,27,2.59,scattered clouds
344,Arcata,US,40.8665,-124.0828,53.64,72,1,3.44,mist
